ID,Author,State,BlockNumberChoices,Scores,AuthorTokenBalance
0x729c19f1cafab8ed884914549e147ef401532cf6680e340a1aa0c8cc65f35f09,0x6d9ABa400a2a487a5Fb76c6d56518835553CD284,closed,14578337,"['Yes', 'No']","[13934451.577716827, 10.733100408190802]",1000.0
QmcVpxCSkL8rPmZgow8uL2GbdPZtUKS3huY9aSExKNfEK6,0x7AE109A63ff4DC852e063a673b40BED85D22E585,closed,14522157,"['Yes', 'No']","[9636742.915859276, 399.21]",0.0
QmaG6nJYW3xLeQwAa6xxhpbuYS8h6PVQpbx1vfqpqxAtik,0x7AE109A63ff4DC852e063a673b40BED85D22E585,closed,14490287,"['Yes', 'No']","[8326659.283348162, 1016.1198322105358]",0.0
0xb328c7583c0f1ea85f8a273dd36977c95e47c3713744caf7143e68b65efcc8a5,0x6d9ABa400a2a487a5Fb76c6d56518835553CD284,closed,14436239,"['Yes', 'No']","[7015853.747219704, 45.63992196668504]",1000.0
QmZ2D27uouvVEHGuRvydwmwepgL2PEXbGzYAXqYr9bMwLo,0xa6e8772af29b29B9202a073f8E36f447689BEef6,closed,14432297,"['Yes', 'No']","[9030382.898244249, 16.471676707156778]",0.0
QmWhemJom3RZdH91rBPmjvAFZEr9HdFRSFVNtAae6kgbyE,0xa6e8772af29b29B9202a073f8E36f447689BEef6,closed,14412875,"['Yes', 'No']","[8930622.307123052, 403.3]",0.0
0xa5b0e54358d8a0bff4b90461873cd4bec83e57d7b87f2e18b9a4ff81539b21ca,0x13BDaE8c5F0fC40231F0E6A4ad70196F59138548,closed,14387057,"['Yes', 'No']","[7511223.797628663, 8262.06978909871]",0.0
0x4fdc5d5c87669d3c99072541e1c775f8dee9b906241b2ce22203737b608c8e55,0x13BDaE8c5F0fC40231F0E6A4ad70196F59138548,closed,14359990,"['Yes', 'No']","[12221585.71518538, 602.7539361800001]",0.0
0x92a16fbf16e7b113700bb2a20b3ca1b71ce678c4b818983e7412eb059cff776a,0x8c64C3D24c4Df13B451D5BC9292b75E5dbA2e02A,closed,14339500,"['Yes', 'No']","[9125954.313457342, 1270.2077619581585]",1000.79952023
0x85a309c742abb3daf8e2d73a6c940c5315b3bf42ab8a8b22340d6e91cb3e8bde,0x8c64C3D24c4Df13B451D5BC9292b75E5dbA2e02A,closed,14307389,"['Yes', 'No']","[2507535.879266101, 23.7]",1000.79952023
Qmcs5pAv7eGBzqGn1G8LJGusME3t7bTCSfZjdyWmw88LaM,0x6c34cFEA4870289198608460Be23B82fB71144aa,closed,14195464,"['Yes', 'No']","[13350.13901699644, 6409561.714164416]",10006.495480100682
