ID,Author,State,BlockNumberChoices,Scores,AuthorTokenBalance
0xb86888deed3c43fcf70b6ce557320327629348343e99097321c59da5dc28817a,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,13709247,"['Accept', 'Decline']","[344505.85499138315, 0]",11883.277824727911
0xf5b458f0568327825b4d921fec0696b37623309727683ddfbed30abfcf81255f,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,13709160,"['Accept', 'Decline']","[344501.8571077842, 0]",11883.277824727911
0x21ea31e896ec5b5a49a3653e51e787ee834aaf953263144ab936ed756f36609f,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,13620822,"['Add Ross and Snake', 'Do not add Ross and Snake']","[32594.05755968427, 0]",197.81822539177423
0xdaf98ef5a14a8aeac30f3adf7305061aa25d912556490ab32ff6e18059ed8c27,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,13620784,"['Yes, Deploy Liquidity to Polygon', ""No Don't deploy to polygon""]","[365672.0947202167, 0]",197.81822539177423
0x53fd7ff2afe9c61b81aa3de28c9442f5c1b32efae1b9c5e44f3b7b398f224663,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,13578433,"['Ban punk1004.eth ', 'Do no ban punk1004.eth']","[184714.0234403531, 0]",197.81822539177423
0xb175abd231c2637b6ae8c10492eafab60413753ddaf2113ac05e1d2d960ebb2a,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,13578393,"['Pay Jason for October Work', ""Don't Pay Jason for October Work""]","[1150.0302555816952, 181695.7191000787]",197.81822539177423
QmZTGLiixG5Z28AuhDuVxkCBePpn4nrmoMargqcC8Mk7xw,0x1b5C706296888a9C52f0c6dcF0579b638bA7EF2a,closed,13392702,"['Approve 2 ETH MoFY mkting budget', 'Deny 2 ETH MoFY mkting budget']","[172572.1791794929, 43.37703704856237]",2054.875177854938
QmPxMCuejEg9g3avMpbDwQjjo3ihEqeCMU3mMsHLyiauKE,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,13312415,"['Accept', 'Decline']","[236974.08378462313, 0]",6898.87229267509
QmSYrh4QD3iCgyGTFSMr2meRJddvBdhf9xtDbRH3y6w29A,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,13310105,"['Approve BuyBack and Build', 'Reject Buyback and Build']","[252582.15311953228, 80.02842012623718]",102.54842055272691
QmTH6QZnNxrRGhMxyEbwiE7VFPCTz1TYGnDHRJghnvgMR9,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,13310014,"['Accept', 'Decline']","[227985.4668370372, 0]",102.54842055272691
QmeyKkjuqbfyrJfWVFJw6STLxd1EZcMVfTNfYepPT1poUG,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,13309926,"['Accept ', 'Decline']","[217760.93779039464, 0]",102.54842055272691
QmT5o98bCNocPT5mHF6ApUFr1577HMtR84DnimM2xP2Z4P,0x9Ebc8AD4011C7f559743Eb25705CCF5A9B58D0bc,closed,13309724,"['Accept', 'Decline']","[228207.46514469056, 8.865129897678914]",6898.87229267509
QmdU2Xq6C4Ljrqm37Qz2pGzSKwESwDhohR3yYrDth28h5P,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,13224392,"['Create HR Group', 'Do Not Create HR Group']","[293041.62422472925, 3.198306879156672]",102.54842055272691
Qmagqp9z59D36dt22HX8sk6SdW21nNkBpLRsu7H38hgs65,0x9098eab0a361D29Ea5c4b5d9d1f50694ac0E9e78,closed,13224354,"['Yes, Update the Guidelines', ""No, Don't Update the Guidelines""]","[292221.4249375955, 0]",102.54842055272691
